folder,label
extracted_frames/town 3/town3_rainy/lane_violation/run_225,failure
extracted_frames/town 5/town5_sunny/collision/run_149,failure
extracted_frames/town 5/town5_sunny/success/run_220,success
extracted_frames/town 5/town5_sunny/lane_violation/run_117,failure
extracted_frames/town 2/town2_sunny/success/run_78,success
extracted_frames/town 5/town5_sunny/success/run_278,success
extracted_frames/town 3/town3_rainy/lane_violation/run_57,failure
extracted_frames/town 5/town5_sunny/success/run_103,success
extracted_frames/town 2/town2_rainy/success/run_10,success
extracted_frames/town 3/town3_rainy/lane_violation/run_29,failure
extracted_frames/town 5/town5_sunny/success/run_14,success
extracted_frames/town 5/town5_sunny/success/run_203,success
extracted_frames/town 5/town5_sunny/lane_violation/run_123,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_211,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_51,failure
extracted_frames/town 2/town2_rainy/success/run_26,success
extracted_frames/town 3/town3_rainy/collision/run_81,failure
extracted_frames/town 2/town2_sunny/success/run_56,success
extracted_frames/town 5/town5_sunny/success/run_79,success
extracted_frames/town 5/town5_sunny/success/run_20,success
extracted_frames/town 3/town3_sunny/lane_violation/run_262,failure
extracted_frames/town 5/town5_sunny/success/run_185,success
extracted_frames/town 5/town5_sunny/lane_violation/run_9,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_262,failure
extracted_frames/town 3/town3_sunny/collision/run_237,failure
extracted_frames/town 5/town5_sunny/success/run_77,success
extracted_frames/town 3/town3_sunny/collision/run_81,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_188,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_91,failure
extracted_frames/town 2/town2_sunny/success/run_55,success
extracted_frames/town 2/town2_sunny/success/run_31,success
extracted_frames/town 3/town3_sunny/lane_violation/run_17,failure
extracted_frames/town 2/town2_rainy/lane_violation/run_1,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_48,failure
extracted_frames/town 3/town3_rainy/collision/run_236,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_240,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_243,failure
extracted_frames/town 5/town5_sunny/success/run_229,success
extracted_frames/town 5/town5_sunny/success/run_177,success
extracted_frames/town 2/town2_sunny/success/run_26,success
extracted_frames/town 3/town3_sunny/collision/run_22,failure
extracted_frames/town 5/town5_sunny/success/run_43,success
extracted_frames/town 3/town3_sunny/lane_violation/run_158,failure
extracted_frames/town 2/town2_sunny/success/run_46,success
extracted_frames/town 3/town3_rainy/lane_violation/run_101,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_263,failure
extracted_frames/town 3/town3_rainy/collision/run_235,failure
extracted_frames/town 2/town2_rainy/lane_violation/run_15,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_198,failure
extracted_frames/town 5/town5_sunny/success/run_274,success
extracted_frames/town 3/town3_rainy/lane_violation/run_181,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_177,failure
extracted_frames/town 5/town5_sunny/success/run_153,success
extracted_frames/town 5/town5_rainy/lane_violation/run_206,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_241,failure
extracted_frames/town 5/town5_sunny/success/run_218,success
extracted_frames/town 3/town3_sunny/collision/run_10,failure
extracted_frames/town 5/town5_sunny/success/run_4,success
extracted_frames/town 2/town2_sunny/success/run_38,success
extracted_frames/town 2/town2_sunny/success/run_37,success
extracted_frames/town 2/town2_rainy/lane_violation/run_70,failure
extracted_frames/town 2/town2_sunny/success/run_96,success
extracted_frames/town 3/town3_sunny/lane_violation/run_209,failure
extracted_frames/town 2/town2_sunny/success/run_86,success
extracted_frames/town 3/town3_sunny/lane_violation/run_157,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_177,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_265,failure
extracted_frames/town 3/town3_sunny/collision/run_59,failure
extracted_frames/town 2/town2_sunny/success/run_81,success
extracted_frames/town 3/town3_rainy/collision/run_73,failure
extracted_frames/town 5/town5_sunny/collision/run_301,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_163,failure
extracted_frames/town 5/town5_sunny/success/run_288,success
extracted_frames/town 3/town3_rainy/lane_violation/run_110,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_253,failure
extracted_frames/town 5/town5_sunny/success/run_219,success
extracted_frames/town 3/town3_rainy/lane_violation/run_166,failure
extracted_frames/town 5/town5_sunny/success/run_142,success
extracted_frames/town 5/town5_sunny/success/run_299,success
extracted_frames/town 2/town2_sunny/success/run_17,success
extracted_frames/town 5/town5_rainy/lane_violation/run_42,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_28,failure
extracted_frames/town 5/town5_sunny/success/run_176,success
extracted_frames/town 5/town5_sunny/success/run_200,success
extracted_frames/town 5/town5_sunny/success/run_297,success
extracted_frames/town 3/town3_rainy/lane_violation/run_237,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_123,failure
extracted_frames/town 5/town5_rainy/collision/run_73,failure
extracted_frames/town 3/town3_rainy/collision/run_15,failure
extracted_frames/town 2/town2_sunny/success/run_13,success
extracted_frames/town 2/town2_rainy/success/run_53,success
extracted_frames/town 5/town5_sunny/success/run_225,success
extracted_frames/town 5/town5_sunny/success/run_163,success
extracted_frames/town 5/town5_sunny/success/run_38,success
extracted_frames/town 3/town3_sunny/collision/run_208,failure
extracted_frames/town 5/town5_sunny/success/run_280,success
extracted_frames/town 2/town2_rainy/lane_violation/run_14,failure
extracted_frames/town 2/town2_rainy/success/run_40,success
extracted_frames/town 5/town5_rainy/lane_violation/run_88,failure
extracted_frames/town 5/town5_sunny/success/run_270,success
extracted_frames/town 2/town2_rainy/lane_violation/run_41,failure
extracted_frames/town 5/town5_sunny/success/run_249,success
extracted_frames/town 3/town3_rainy/lane_violation/run_135,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_243,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_218,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_152,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_182,failure
extracted_frames/town 3/town3_sunny/collision/run_243,failure
extracted_frames/town 2/town2_rainy/success/run_45,success
extracted_frames/town 3/town3_rainy/collision/run_169,failure
extracted_frames/town 3/town3_rainy/collision/run_257,failure
extracted_frames/town 2/town2_sunny/success/run_87,success
extracted_frames/town 5/town5_sunny/success/run_47,success
extracted_frames/town 2/town2_sunny/success/run_92,success
extracted_frames/town 5/town5_sunny/success/run_111,success
extracted_frames/town 3/town3_rainy/lane_violation/run_105,failure
extracted_frames/town 5/town5_sunny/success/run_141,success
extracted_frames/town 5/town5_sunny/success/run_58,success
extracted_frames/town 2/town2_rainy/lane_violation/run_89,failure
extracted_frames/town 5/town5_sunny/success/run_230,success
extracted_frames/town 3/town3_rainy/lane_violation/run_153,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_124,failure
extracted_frames/town 2/town2_rainy/lane_violation/run_46,failure
extracted_frames/town 5/town5_sunny/success/run_42,success
extracted_frames/town 5/town5_sunny/collision/run_113,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_253,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_69,failure
extracted_frames/town 5/town5_sunny/success/run_78,success
extracted_frames/town 5/town5_rainy/lane_violation/run_76,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_57,failure
extracted_frames/town 5/town5_sunny/success/run_188,success
extracted_frames/town 5/town5_sunny/lane_violation/run_192,failure
extracted_frames/town 5/town5_sunny/success/run_143,success
extracted_frames/town 3/town3_sunny/lane_violation/run_232,failure
extracted_frames/town 5/town5_sunny/success/run_101,success
extracted_frames/town 2/town2_rainy/lane_violation/run_19,failure
extracted_frames/town 2/town2_sunny/success/run_14,success
extracted_frames/town 3/town3_rainy/collision/run_246,failure
extracted_frames/town 5/town5_sunny/success/run_158,success
extracted_frames/town 3/town3_sunny/collision/run_8,failure
extracted_frames/town 2/town2_rainy/lane_violation/run_4,failure
extracted_frames/town 5/town5_sunny/success/run_44,success
extracted_frames/town 5/town5_sunny/success/run_109,success
extracted_frames/town 2/town2_sunny/success/run_90,success
extracted_frames/town 5/town5_sunny/success/run_186,success
extracted_frames/town 3/town3_sunny/lane_violation/run_100,failure
extracted_frames/town 3/town3_rainy/collision/run_77,failure
extracted_frames/town 3/town3_sunny/collision/run_15,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_158,failure
extracted_frames/town 3/town3_rainy/collision/run_89,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_205,failure
extracted_frames/town 2/town2_rainy/success/run_68,success
extracted_frames/town 5/town5_sunny/lane_violation/run_290,failure
extracted_frames/town 3/town3_sunny/collision/run_231,failure
extracted_frames/town 3/town3_rainy/collision/run_56,failure
extracted_frames/town 5/town5_sunny/success/run_41,success
extracted_frames/town 5/town5_sunny/success/run_96,success
extracted_frames/town 3/town3_rainy/lane_violation/run_10,failure
extracted_frames/town 5/town5_sunny/success/run_221,success
extracted_frames/town 5/town5_sunny/success/run_302,success
extracted_frames/town 2/town2_sunny/success/run_70,success
extracted_frames/town 5/town5_sunny/success/run_80,success
extracted_frames/town 5/town5_sunny/success/run_182,success
extracted_frames/town 2/town2_sunny/success/run_82,success
extracted_frames/town 5/town5_sunny/success/run_241,success
extracted_frames/town 5/town5_sunny/success/run_37,success
extracted_frames/town 3/town3_rainy/lane_violation/run_113,failure
extracted_frames/town 5/town5_sunny/success/run_94,success
extracted_frames/town 5/town5_sunny/success/run_168,success
extracted_frames/town 5/town5_sunny/lane_violation/run_155,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_114,failure
extracted_frames/town 5/town5_rainy/collision/run_115,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_44,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_132,failure
extracted_frames/town 2/town2_sunny/success/run_35,success
extracted_frames/town 5/town5_sunny/success/run_131,success
extracted_frames/town 3/town3_sunny/lane_violation/run_159,failure
extracted_frames/town 3/town3_sunny/collision/run_102,failure
extracted_frames/town 5/town5_sunny/success/run_250,success
extracted_frames/town 3/town3_rainy/lane_violation/run_189,failure
extracted_frames/town 5/town5_sunny/success/run_144,success
extracted_frames/town 5/town5_rainy/lane_violation/run_285,failure
extracted_frames/town 5/town5_sunny/success/run_45,success
extracted_frames/town 5/town5_rainy/lane_violation/run_63,failure
extracted_frames/town 2/town2_rainy/collision/run_93,failure
extracted_frames/town 2/town2_sunny/success/run_54,success
extracted_frames/town 3/town3_rainy/lane_violation/run_161,failure
extracted_frames/town 5/town5_sunny/success/run_251,success
extracted_frames/town 2/town2_sunny/success/run_60,success
extracted_frames/town 3/town3_sunny/lane_violation/run_195,failure
extracted_frames/town 5/town5_sunny/success/run_222,success
extracted_frames/town 5/town5_sunny/success/run_6,success
extracted_frames/town 3/town3_sunny/lane_violation/run_206,failure
extracted_frames/town 2/town2_sunny/success/run_80,success
extracted_frames/town 5/town5_sunny/success/run_53,success
extracted_frames/town 5/town5_rainy/lane_violation/run_51,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_261,failure
extracted_frames/town 3/town3_rainy/collision/run_72,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_65,failure
extracted_frames/town 5/town5_sunny/success/run_39,success
extracted_frames/town 3/town3_rainy/collision/run_247,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_152,failure
extracted_frames/town 5/town5_sunny/success/run_35,success
extracted_frames/town 2/town2_rainy/success/run_65,success
extracted_frames/town 2/town2_sunny/success/run_102,success
extracted_frames/town 5/town5_sunny/success/run_70,success
extracted_frames/town 3/town3_rainy/lane_violation/run_190,failure
extracted_frames/town 5/town5_rainy/collision/run_1,failure
extracted_frames/town 2/town2_sunny/lane_violation/run_59,failure
extracted_frames/town 5/town5_sunny/success/run_259,success
extracted_frames/town 5/town5_sunny/lane_violation/run_34,failure
extracted_frames/town 5/town5_sunny/success/run_28,success
extracted_frames/town 2/town2_rainy/success/run_44,success
extracted_frames/town 5/town5_sunny/success/run_87,success
extracted_frames/town 2/town2_rainy/success/run_81,success
extracted_frames/town 3/town3_sunny/lane_violation/run_136,failure
extracted_frames/town 5/town5_sunny/success/run_62,success
extracted_frames/town 2/town2_sunny/success/run_47,success
extracted_frames/town 2/town2_sunny/success/run_77,success
extracted_frames/town 5/town5_sunny/success/run_133,success
extracted_frames/town 5/town5_sunny/success/run_89,success
extracted_frames/town 5/town5_sunny/success/run_165,success
extracted_frames/town 5/town5_sunny/success/run_162,success
extracted_frames/town 5/town5_sunny/success/run_130,success
extracted_frames/town 2/town2_rainy/lane_violation/run_71,failure
extracted_frames/town 5/town5_sunny/success/run_181,success
extracted_frames/town 2/town2_sunny/success/run_16,success
extracted_frames/town 5/town5_rainy/lane_violation/run_187,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_55,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_284,failure
extracted_frames/town 3/town3_rainy/collision/run_249,failure
extracted_frames/town 5/town5_sunny/success/run_174,success
extracted_frames/town 5/town5_sunny/success/run_269,success
extracted_frames/town 3/town3_rainy/lane_violation/run_39,failure
extracted_frames/town 3/town3_rainy/collision/run_221,failure
extracted_frames/town 5/town5_sunny/success/run_285,success
extracted_frames/town 5/town5_sunny/success/run_76,success
extracted_frames/town 2/town2_sunny/lane_violation/run_48,failure
extracted_frames/town 2/town2_sunny/success/run_11,success
extracted_frames/town 3/town3_rainy/lane_violation/run_8,failure
extracted_frames/town 5/town5_sunny/success/run_187,success
extracted_frames/town 3/town3_rainy/lane_violation/run_129,failure
extracted_frames/town 5/town5_sunny/success/run_129,success
extracted_frames/town 2/town2_sunny/success/run_25,success
extracted_frames/town 3/town3_rainy/lane_violation/run_150,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_245,failure
extracted_frames/town 5/town5_sunny/success/run_19,success
extracted_frames/town 2/town2_sunny/collision/run_68,failure
extracted_frames/town 2/town2_sunny/collision/run_32,failure
extracted_frames/town 2/town2_sunny/success/run_7,success
extracted_frames/town 3/town3_rainy/lane_violation/run_126,failure
extracted_frames/town 2/town2_sunny/success/run_30,success
extracted_frames/town 5/town5_sunny/success/run_82,success
extracted_frames/town 5/town5_sunny/success/run_16,success
extracted_frames/town 2/town2_sunny/success/run_57,success
extracted_frames/town 2/town2_sunny/success/run_91,success
extracted_frames/town 5/town5_sunny/success/run_116,success
extracted_frames/town 5/town5_sunny/success/run_277,success
extracted_frames/town 3/town3_rainy/collision/run_122,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_30,failure
extracted_frames/town 5/town5_sunny/success/run_204,success
extracted_frames/town 5/town5_sunny/success/run_202,success
extracted_frames/town 3/town3_rainy/collision/run_206,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_234,failure
extracted_frames/town 5/town5_sunny/success/run_119,success
extracted_frames/town 5/town5_sunny/success/run_52,success
extracted_frames/town 2/town2_sunny/success/run_45,success
extracted_frames/town 5/town5_sunny/success/run_232,success
extracted_frames/town 5/town5_sunny/success/run_138,success
extracted_frames/town 3/town3_rainy/lane_violation/run_265,failure
extracted_frames/town 2/town2_rainy/collision/run_83,failure
extracted_frames/town 2/town2_rainy/success/run_38,success
extracted_frames/town 3/town3_rainy/lane_violation/run_79,failure
extracted_frames/town 5/town5_sunny/success/run_148,success
extracted_frames/town 2/town2_rainy/success/run_66,success
extracted_frames/town 2/town2_sunny/success/run_6,success
extracted_frames/town 3/town3_rainy/collision/run_222,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_3,failure
extracted_frames/town 5/town5_sunny/success/run_256,success
extracted_frames/town 2/town2_rainy/lane_violation/run_94,failure
extracted_frames/town 5/town5_sunny/success/run_118,success
extracted_frames/town 3/town3_sunny/lane_violation/run_222,failure
extracted_frames/town 5/town5_sunny/success/run_25,success
extracted_frames/town 5/town5_sunny/success/run_22,success
extracted_frames/town 5/town5_rainy/lane_violation/run_81,failure
extracted_frames/town 5/town5_sunny/success/run_128,success
extracted_frames/town 2/town2_rainy/success/run_25,success
extracted_frames/town 5/town5_rainy/lane_violation/run_196,failure
extracted_frames/town 5/town5_sunny/success/run_208,success
extracted_frames/town 2/town2_sunny/success/run_41,success
extracted_frames/town 3/town3_rainy/lane_violation/run_96,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_167,failure
extracted_frames/town 5/town5_rainy/collision/run_280,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_248,failure
extracted_frames/town 3/town3_sunny/collision/run_24,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_164,failure
extracted_frames/town 2/town2_sunny/collision/run_61,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_269,failure
extracted_frames/town 5/town5_sunny/success/run_276,success
extracted_frames/town 3/town3_rainy/lane_violation/run_111,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_172,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_214,failure
extracted_frames/town 3/town3_sunny/collision/run_216,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_135,failure
extracted_frames/town 5/town5_sunny/collision/run_152,failure
extracted_frames/town 5/town5_sunny/success/run_60,success
extracted_frames/town 2/town2_rainy/lane_violation/run_9,failure
extracted_frames/town 5/town5_sunny/success/run_194,success
extracted_frames/town 5/town5_sunny/lane_violation/run_73,failure
extracted_frames/town 2/town2_rainy/success/run_74,success
extracted_frames/town 2/town2_rainy/success/run_61,success
extracted_frames/town 2/town2_sunny/success/run_76,success
extracted_frames/town 5/town5_sunny/success/run_213,success
extracted_frames/town 2/town2_rainy/success/run_85,success
extracted_frames/town 5/town5_sunny/success/run_191,success
extracted_frames/town 5/town5_sunny/success/run_214,success
extracted_frames/town 5/town5_sunny/success/run_231,success
extracted_frames/town 5/town5_sunny/success/run_5,success
extracted_frames/town 2/town2_rainy/success/run_30,success
extracted_frames/town 5/town5_sunny/success/run_175,success
extracted_frames/town 3/town3_sunny/lane_violation/run_45,failure
extracted_frames/town 5/town5_sunny/success/run_139,success
extracted_frames/town 2/town2_sunny/success/run_95,success
extracted_frames/town 2/town2_sunny/success/run_93,success
extracted_frames/town 5/town5_sunny/success/run_233,success
extracted_frames/town 5/town5_sunny/success/run_293,success
extracted_frames/town 2/town2_sunny/success/run_40,success
extracted_frames/town 5/town5_sunny/success/run_122,success
extracted_frames/town 3/town3_rainy/lane_violation/run_253,failure
extracted_frames/town 2/town2_rainy/success/run_80,success
extracted_frames/town 3/town3_rainy/lane_violation/run_50,failure
extracted_frames/town 2/town2_sunny/success/run_22,success
extracted_frames/town 2/town2_sunny/success/run_23,success
extracted_frames/town 2/town2_sunny/success/run_74,success
extracted_frames/town 2/town2_rainy/lane_violation/run_17,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_286,failure
extracted_frames/town 5/town5_sunny/success/run_15,success
extracted_frames/town 2/town2_rainy/success/run_56,success
extracted_frames/town 2/town2_rainy/success/run_59,success
extracted_frames/town 2/town2_rainy/success/run_42,success
extracted_frames/town 5/town5_sunny/success/run_3,success
extracted_frames/town 3/town3_rainy/collision/run_109,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_129,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_108,failure
extracted_frames/town 5/town5_sunny/success/run_146,success
extracted_frames/town 5/town5_rainy/lane_violation/run_257,failure
extracted_frames/town 5/town5_sunny/collision/run_183,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_13,failure
extracted_frames/town 2/town2_rainy/success/run_55,success
extracted_frames/town 5/town5_sunny/success/run_26,success
extracted_frames/town 5/town5_sunny/success/run_50,success
extracted_frames/town 2/town2_sunny/success/run_58,success
extracted_frames/town 2/town2_sunny/success/run_49,success
extracted_frames/town 2/town2_rainy/success/run_6,success
extracted_frames/town 2/town2_sunny/success/run_4,success
extracted_frames/town 2/town2_rainy/success/run_86,success
extracted_frames/town 5/town5_rainy/lane_violation/run_56,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_38,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_165,failure
extracted_frames/town 5/town5_sunny/success/run_300,success
extracted_frames/town 5/town5_rainy/collision/run_139,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_132,failure
extracted_frames/town 5/town5_sunny/success/run_137,success
extracted_frames/town 5/town5_sunny/success/run_238,success
extracted_frames/town 5/town5_sunny/success/run_258,success
extracted_frames/town 2/town2_rainy/success/run_31,success
extracted_frames/town 3/town3_rainy/lane_violation/run_157,failure
extracted_frames/town 5/town5_sunny/success/run_248,success
extracted_frames/town 2/town2_rainy/lane_violation/run_2,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_193,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_185,failure
extracted_frames/town 2/town2_rainy/lane_violation/run_67,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_17,failure
extracted_frames/town 5/town5_sunny/success/run_260,success
extracted_frames/town 2/town2_sunny/success/run_19,success
extracted_frames/town 5/town5_sunny/success/run_235,success
extracted_frames/town 5/town5_sunny/success/run_66,success
extracted_frames/town 2/town2_rainy/success/run_22,success
extracted_frames/town 3/town3_rainy/lane_violation/run_252,failure
extracted_frames/town 5/town5_sunny/success/run_121,success
extracted_frames/town 5/town5_sunny/success/run_21,success
